method,dataset,workload,n_initial,n_inserted,epsilon,total_update_us,avg_insert_us,p50_insert_us,p95_insert_us,p99_insert_us,initial_segments,final_segments,optimal_final_segments,segment_overhead,max_error,violations,avg_keys_repaired,avg_segments_repaired,expansion_rate,window_expansions,avg_query_us,p95_query_us,avg_search_range
FullRebuildFinal,fb_200M,uniform_random,100000,10000,64,70368,0,0,0,0,9,10,10,1,63.9845,0,0,0,0,0,0,0,0
FullRebuildEach,fb_200M,uniform_random,100000,10000,64,6.5452e+07,6545.2,6516.15,6977.13,7131.25,9,10,10,1,63.9845,0,0,0,0,0,0,0,0
PeriodicRebuild,fb_200M,uniform_random,100000,10000,64,129863,12.9863,6.361,12.045,12.564,9,10,10,1,63.9845,0,0,0,0,0,0,0,0
LSLR-c0,fb_200M,uniform_random,100000,10000,64,2.05269e+06,205.269,183.655,663.201,817.346,9,775,10,77.5,54.2953,0,2765.98,1.0766,0,0,0,0,0
LSLR-c1,fb_200M,uniform_random,100000,10000,64,1.89497e+07,1894.97,1926.43,2612.05,2879.73,9,10,10,1,63.9845,0,28807.7,2.948,0,0,0,0,0
LSLR-c2,fb_200M,uniform_random,100000,10000,64,3.12412e+07,3124.12,3226.04,4124.62,4187.63,9,10,10,1,63.9845,0,48636.9,4.676,0,0,0,0,0
LSLR-adaptive,fb_200M,uniform_random,100000,10000,64,3.1146e+07,3114.6,3386.13,4319.78,4492.82,9,10,10,1,63.9845,0,29548.1,2.9501,0.0023,23,0,0,0
FullRebuildFinal,fb_200M,same_dist,100000,10000,64,70481.8,0,0,0,0,9,11,11,1,63.9995,0,0,0,0,0,0,0,0
PeriodicRebuild,fb_200M,same_dist,100000,10000,64,129472,12.9472,6.366,12.101,12.626,9,11,11,1,63.9995,0,0,0,0,0,0,0,0
LSLR-c0,fb_200M,same_dist,100000,10000,64,2.0024e+06,200.24,175.938,662.609,812.312,9,813,11,73.9091,57.9511,0,2731.13,1.0804,0,0,0,0,0
LSLR-c1,fb_200M,same_dist,100000,10000,64,1.79e+07,1790,1855.11,2716.34,2800.71,9,11,11,1,63.9995,0,28107.9,2.9594,0,0,0,0,0
LSLR-c2,fb_200M,same_dist,100000,10000,64,3.15668e+07,3156.68,3328.34,4087.35,4317.02,9,11,11,1,63.9995,0,48454.5,4.712,0,0,0,0,0
LSLR-adaptive,fb_200M,same_dist,100000,10000,64,2.98126e+07,2981.26,2899.4,4441.33,4573.46,9,11,11,1,63.9995,0,29369.5,2.9623,0.0029,29,0,0,0
FullRebuildFinal,fb_200M,append,100000,10000,64,7125.57,0,0,0,0,9,9,9,1,63.9883,0,0,0,0,0,0,0,0
PeriodicRebuild,fb_200M,append,100000,10000,64,63426.9,6.34269,0.068,0.072,0.073,9,9,9,1,63.9883,0,0,0,0,0,0,0,0
LSLR-c0,fb_200M,append,100000,10000,64,4.1415e+06,414.15,423.48,639.95,660.471,9,9,9,1,63.9883,0,6515.5,1,0,0,0,0,0
LSLR-c1,fb_200M,append,100000,10000,64,1.22377e+07,1223.77,1234.16,1443.01,1472.72,9,9,9,1,63.9883,0,19250.5,2,0,0,0,0,0
LSLR-c2,fb_200M,append,100000,10000,64,1.94774e+07,1947.74,1946.64,2164.08,2250.67,9,9,9,1,63.9883,0,30955.5,3,0,0,0,0,0
LSLR-adaptive,fb_200M,append,100000,10000,64,1.87877e+07,1878.77,1892.62,2184.16,2248.55,9,9,9,1,63.9883,0,19250.5,2,0,0,0,0,0
